                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1072,                 2.9886,                 1.2171,                0.79522,                0.73847,                0.87577,                0.68465,                0.79453,                 1.3315,                 1.0342,             0.00011795,             0.00011795,             0.00011795
                      2,                0.86748,                 1.2803,                  1.069,                0.88638,                0.91651,                0.98181,                0.78556,                0.74469,                0.85363,                0.99911,             0.00023577,             0.00023577,             0.00023577
                      3,                0.85026,                 1.0239,                 1.0642,                0.91103,                0.94605,                0.99155,                0.79123,                0.80255,                0.71575,                  1.093,             0.00035242,             0.00035242,             0.00035242
                      4,                0.84116,                0.86575,                 1.0751,                0.89312,                0.95026,                0.96706,                 0.7922,                0.71708,                0.61387,                 1.0433,              0.0003517,              0.0003517,              0.0003517
                      5,                0.79774,                 0.7562,                 1.0482,                0.90845,                0.99144,                  0.995,                0.81504,                0.68822,                0.53679,                0.99728,             0.00034993,             0.00034993,             0.00034993
                      6,                0.78916,                 0.6659,                 1.0441,                0.96263,                0.99255,                 0.9945,                0.81845,                0.71707,                0.47767,                0.99447,             0.00034816,             0.00034816,             0.00034816
                      7,                0.77564,                0.64052,                  1.048,                0.98016,                0.99734,                  0.995,                0.83207,                0.67385,                0.44068,                 1.0245,              0.0003464,              0.0003464,              0.0003464
                      8,                0.76366,                0.62896,                 1.0459,                 0.9817,                0.99836,                  0.995,                 0.8279,                 0.7126,                0.40347,                 1.0402,             0.00034463,             0.00034463,             0.00034463
                      9,                0.77496,                0.60238,                 1.0494,                0.98111,                0.98698,                0.99433,                0.82451,                  0.698,                  0.403,                 1.0379,             0.00034286,             0.00034286,             0.00034286
                     10,                0.75366,                0.57276,                 1.0391,                 0.9813,                0.99355,                0.99454,                 0.8382,                0.65809,                0.37561,                   1.01,              0.0003411,              0.0003411,              0.0003411
                     11,                0.74138,                0.54358,                 1.0357,                0.97871,                0.99843,                0.99483,                 0.8398,                0.64306,                0.37147,                  1.007,             0.00033933,             0.00033933,             0.00033933
                     12,                0.73722,                0.53102,                 1.0359,                0.98136,                0.99738,                  0.995,                0.83805,                0.65839,                0.36864,                 1.0136,             0.00033756,             0.00033756,             0.00033756
                     13,                0.72962,                0.51794,                 1.0321,                0.97429,                0.99915,                  0.995,                0.84162,                0.64553,                0.34893,                0.99411,             0.00033579,             0.00033579,             0.00033579
                     14,                0.73506,                0.49928,                 1.0384,                0.97993,                0.99439,                0.99434,                0.84241,                0.65365,                0.33883,                 1.0046,             0.00033403,             0.00033403,             0.00033403
                     15,                0.73079,                0.48609,                 1.0275,                0.98429,                0.99587,                  0.995,                0.84421,                0.63952,                0.33324,                 1.0007,             0.00033226,             0.00033226,             0.00033226
                     16,                 0.7212,                0.47592,                 1.0253,                0.98356,                0.99624,                0.99441,                0.84713,                0.62985,                 0.3286,                0.99121,             0.00033049,             0.00033049,             0.00033049
                     17,                0.73901,                0.49944,                 1.0427,                0.98452,                0.99197,                0.99451,                0.84101,                0.64787,                0.33258,                 1.0082,             0.00032873,             0.00032873,             0.00032873
                     18,                0.71613,                0.47755,                  1.033,                0.98682,                 0.9984,                0.99392,                0.84793,                0.65999,                0.32277,                 1.0062,             0.00032696,             0.00032696,             0.00032696
                     19,                0.70371,                0.45773,                 1.0157,                0.98707,                0.99804,                0.99346,                0.83865,                0.65255,                 0.3291,                 1.0036,             0.00032519,             0.00032519,             0.00032519
                     20,                0.70476,                0.46258,                 1.0266,                0.97906,                 0.9952,                0.99256,                0.84261,                0.63544,                0.31874,                  1.003,             0.00032342,             0.00032342,             0.00032342
                     21,                0.69056,                0.44706,                 1.0127,                0.98967,                0.99858,                  0.995,                0.85047,                0.62382,                0.30706,                0.99057,             0.00032166,             0.00032166,             0.00032166
                     22,                 0.6947,                0.44275,                 1.0228,                0.98055,                      1,                  0.995,                0.84677,                0.65109,                0.30467,                   1.01,             0.00031989,             0.00031989,             0.00031989
                     23,                0.70114,                0.46494,                 1.0256,                0.98463,                0.99884,                  0.995,                0.85006,                0.62996,                0.30811,                 1.0028,             0.00031812,             0.00031812,             0.00031812
                     24,                0.68495,                0.43877,                 1.0143,                0.98901,                0.99752,                  0.995,                0.84721,                0.63585,                0.31222,                0.99919,             0.00031636,             0.00031636,             0.00031636
                     25,                0.70617,                 0.4481,                 1.0276,                0.98635,                0.99958,                0.99483,                0.84844,                0.64841,                0.30222,                 1.0059,             0.00031459,             0.00031459,             0.00031459
                     26,                 0.6872,                0.42554,                 1.0115,                0.98649,                0.99188,                0.99414,                0.85077,                  0.626,                 0.3012,                0.98822,             0.00031282,             0.00031282,             0.00031282
                     27,                0.68522,                0.42367,                 1.0121,                0.97874,                0.99303,                 0.9943,                0.85556,                0.62895,                0.30029,                0.99295,             0.00031105,             0.00031105,             0.00031105
                     28,                0.68439,                0.43256,                 1.0153,                0.98422,                0.99387,                0.99485,                0.85327,                0.61495,                0.29938,                0.99079,             0.00030929,             0.00030929,             0.00030929
                     29,                0.68614,                0.42558,                 1.0095,                0.98545,                0.99502,                0.99474,                0.86073,                0.63056,                0.29958,                0.99161,             0.00030752,             0.00030752,             0.00030752
                     30,                0.67884,                0.41931,                 1.0181,                0.98499,                 0.9984,                0.99457,                0.86276,                0.60236,                0.29282,                0.97783,             0.00030575,             0.00030575,             0.00030575
                     31,                0.68101,                0.41309,                 1.0158,                0.98499,                0.99889,                0.99483,                0.85966,                 0.6216,                0.29029,                 0.9916,             0.00030399,             0.00030399,             0.00030399
                     32,                0.68082,                0.41437,                 1.0175,                0.97879,                0.99394,                 0.9943,                0.85967,                0.60583,                0.28643,                0.97986,             0.00030222,             0.00030222,             0.00030222
                     33,                0.67327,                0.40921,                 1.0216,                 0.9881,                  0.999,                0.99495,                0.84671,                 0.6286,                0.28493,                0.99436,             0.00030045,             0.00030045,             0.00030045
                     34,                0.67415,                0.39835,                 1.0013,                0.98778,                0.99787,                0.99459,                 0.8578,                0.61943,                0.28517,                0.99205,             0.00029868,             0.00029868,             0.00029868
                     35,                0.68285,                0.41453,                 1.0177,                0.98918,                0.99786,                0.99381,                 0.8565,                0.59924,                0.28084,                0.97792,             0.00029692,             0.00029692,             0.00029692
                     36,                0.66591,                0.39519,                 1.0092,                 0.9884,                0.99871,                0.99489,                0.86512,                0.61793,                0.28436,                0.98399,             0.00029515,             0.00029515,             0.00029515
                     37,                0.65721,                0.39186,                 1.0068,                0.99039,                0.99781,                0.99495,                0.85872,                0.60819,                0.28427,                0.98411,             0.00029338,             0.00029338,             0.00029338
