                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1826,                 3.7936,                 1.2317,                0.77611,                 0.3168,                0.40496,                0.32899,                0.88717,                 2.8865,                 1.0139,             0.00011578,             0.00011578,             0.00011578
                      2,                0.81439,                  2.007,                 1.0156,                 0.7672,                0.66068,                0.78159,                0.63383,                0.77679,                 1.5753,                  1.003,             0.00023014,             0.00023014,             0.00023014
                      3,                0.78116,                 1.4223,                0.99284,                0.73187,                0.89149,                0.86994,                0.69978,                0.75406,                 1.2446,                0.98446,             0.00033977,             0.00033977,             0.00033977
                      4,                0.76434,                 1.1012,                0.98264,                0.90155,                0.93547,                0.99333,                0.81708,                0.74631,                0.78433,                0.98283,             0.00033579,             0.00033579,             0.00033579
                      5,                 0.7423,                  0.958,                0.98181,                0.87246,                0.96153,                  0.995,                 0.8316,                 0.7562,                0.75882,                0.99537,             0.00032873,             0.00032873,             0.00032873
                      6,                0.75414,                0.88002,                0.97379,                0.89308,                0.96579,                 0.9866,                0.82872,                0.71669,                0.63415,                0.98132,             0.00032166,             0.00032166,             0.00032166
                      7,                0.73002,                0.75584,                 0.9856,                0.95265,                0.93833,                  0.995,                0.84432,                0.65931,                0.55179,                0.95166,             0.00031459,             0.00031459,             0.00031459
                      8,                 0.7132,                0.71631,                0.97326,                0.95833,                0.98086,                  0.995,                0.84333,                0.71336,                0.50142,                0.99408,             0.00030752,             0.00030752,             0.00030752
                      9,                0.70584,                0.67401,                0.98057,                0.97261,                0.98288,                  0.995,                0.85485,                0.69209,                0.46575,                0.96692,             0.00030045,             0.00030045,             0.00030045
                     10,                0.71999,                0.63422,                0.98492,                0.95787,                0.98182,                  0.995,                0.84615,                0.66187,                0.46529,                0.96699,             0.00029338,             0.00029338,             0.00029338
                     11,                0.67262,                0.60033,                0.96205,                0.97482,                 0.9897,                  0.995,                0.84877,                0.69705,                0.45741,                 1.0047,             0.00028631,             0.00028631,             0.00028631
                     12,                0.66726,                0.54432,                0.95288,                0.95327,                0.99887,                  0.995,                0.85626,                0.68781,                0.43832,                0.97496,             0.00027925,             0.00027925,             0.00027925
                     13,                0.67722,                0.54904,                0.96891,                0.96045,                0.95766,                  0.995,                0.84905,                0.67064,                0.43425,                0.95687,             0.00027218,             0.00027218,             0.00027218
                     14,                0.68944,                 0.5322,                 0.9533,                0.93855,                0.98994,                  0.995,                0.85618,                0.68821,                0.40379,                0.96253,             0.00026511,             0.00026511,             0.00026511
                     15,                0.66082,                0.53576,                0.95779,                0.95528,                0.99144,                  0.995,                0.85761,                0.67242,                0.40439,                0.97067,             0.00025804,             0.00025804,             0.00025804
                     16,                0.69009,                0.52067,                0.97204,                0.96902,                0.99577,                  0.995,                0.85123,                0.66135,                0.37676,                0.96249,             0.00025097,             0.00025097,             0.00025097
                     17,                 0.6645,                0.49331,                0.94557,                 0.9527,                0.99435,                  0.995,                0.84596,                0.67829,                0.36936,                0.96431,              0.0002439,              0.0002439,              0.0002439
                     18,                0.66947,                0.48827,                0.96103,                0.97301,                0.99146,                  0.995,                0.84963,                0.68566,                0.38057,                0.96939,             0.00023683,             0.00023683,             0.00023683
                     19,                0.64861,                0.45989,                 0.9597,                0.98334,                0.99711,                  0.995,                0.86507,                0.66379,                0.34468,                0.96934,             0.00022977,             0.00022977,             0.00022977
                     20,                  0.626,                0.43636,                0.95106,                0.96753,                      1,                  0.995,                0.86062,                0.66656,                0.33241,                0.96354,              0.0002227,              0.0002227,              0.0002227
                     21,                0.63672,                0.45311,                0.95885,                0.97986,                0.99947,                  0.995,                0.85771,                0.66324,                0.32099,                0.96903,             0.00021563,             0.00021563,             0.00021563
                     22,                0.61939,                0.43299,                 0.9416,                0.98108,                0.99699,                  0.995,                0.86641,                0.66743,                0.33395,                 0.9589,             0.00020856,             0.00020856,             0.00020856
                     23,                0.63289,                0.42975,                0.94922,                0.97368,                0.99636,                  0.995,                0.85744,                0.65972,                0.32454,                0.95378,             0.00020149,             0.00020149,             0.00020149
                     24,                0.64326,                0.44946,                0.95319,                 0.9787,                      1,                  0.995,                 0.8568,                0.66162,                0.32965,                0.96141,             0.00019442,             0.00019442,             0.00019442
                     25,                0.62644,                 0.4167,                0.93974,                0.97863,                      1,                  0.995,                0.85114,                0.66123,                0.30574,                0.95633,             0.00018735,             0.00018735,             0.00018735
                     26,                0.62491,                0.41225,                0.94588,                0.97997,                0.99737,                  0.995,                0.86049,                0.66175,                0.31698,                0.95876,             0.00018028,             0.00018028,             0.00018028
                     27,                0.63134,                 0.4111,                0.95083,                0.97652,                 0.9977,                  0.995,                0.86111,                0.65244,                0.30566,                0.95563,             0.00017322,             0.00017322,             0.00017322
                     28,                0.61948,                0.40139,                0.95291,                 0.9836,                      1,                  0.995,                0.86714,                0.64178,                0.30225,                0.94852,             0.00016615,             0.00016615,             0.00016615
                     29,                0.60513,                0.39802,                0.94268,                0.97893,                      1,                  0.995,                0.87245,                0.63662,                0.29449,                0.94855,             0.00015908,             0.00015908,             0.00015908
                     30,                0.60654,                0.38343,                  0.931,                0.98453,                      1,                  0.995,                0.86925,                0.64531,                0.29263,                0.94778,             0.00015201,             0.00015201,             0.00015201
                     31,                0.60841,                0.38969,                0.95444,                0.98223,                      1,                  0.995,                0.86665,                0.63648,                0.29031,                0.94898,             0.00014494,             0.00014494,             0.00014494
                     32,                0.60302,                0.36359,                0.93994,                0.97868,                      1,                  0.995,                0.86411,                0.63919,                0.28828,                0.94635,             0.00013787,             0.00013787,             0.00013787
                     33,                0.59128,                0.36721,                0.94288,                0.98682,                      1,                  0.995,                0.86733,                0.63095,                0.28957,                0.94561,              0.0001308,              0.0001308,              0.0001308
                     34,                0.57972,                  0.359,                0.94002,                 0.9791,                0.99926,                  0.995,                0.86808,                0.64226,                0.29198,                0.95465,             0.00012374,             0.00012374,             0.00012374
                     35,                0.59388,                0.36521,                0.92955,                0.98485,                      1,                  0.995,                0.86221,                0.65673,                0.28996,                0.95836,             0.00011667,             0.00011667,             0.00011667
                     36,                0.59649,                 0.3534,                0.92689,                0.98364,                0.99829,                  0.995,                 0.8682,                0.64164,                0.27728,                0.95509,              0.0001096,              0.0001096,              0.0001096
                     37,                 0.5992,                0.35225,                0.93118,                0.98304,                      1,                  0.995,                0.86923,                0.62925,                0.27653,                 0.9529,             0.00010253,             0.00010253,             0.00010253
                     38,                0.60949,                0.35569,                0.93684,                0.97263,                      1,                  0.995,                0.87432,                0.62939,                0.27195,                0.94902,             9.5462e-05,             9.5462e-05,             9.5462e-05
                     39,                0.58061,                0.33824,                  0.924,                0.98309,                      1,                  0.995,                0.87385,                0.64446,                0.27764,                0.95102,             8.8393e-05,             8.8393e-05,             8.8393e-05
                     40,                0.58236,                0.33179,                0.93105,                0.98017,                0.99875,                  0.995,                  0.867,                0.66096,                0.27799,                0.96742,             8.1325e-05,             8.1325e-05,             8.1325e-05
                     41,                0.53609,                0.27506,                0.88852,                0.97747,                0.99633,                  0.995,                0.87565,                0.64502,                0.27837,                0.94934,             7.4256e-05,             7.4256e-05,             7.4256e-05
                     42,                0.53802,                0.27246,                 0.9026,                0.98598,                0.99925,                  0.995,                0.87046,                0.62767,                0.27294,                0.94347,             6.7187e-05,             6.7187e-05,             6.7187e-05
